module,phase,name,code,command,required,agent-name,description,output-location
"testing","anytime","atdd","atdd","kratos-atdd","false","test-architect","Generate failing acceptance tests","docs/test-artifacts"
"testing","anytime","test-automation","test-automate","kratos-test-automate","false","test-architect","Expand automated test coverage","docs/test-artifacts"
"testing","anytime","test-review","test-review","kratos-test-review","false","test-architect","Review test quality","docs/test-artifacts"
"testing","anytime","nfr-assessment","nfr","kratos-nfr","false","test-architect","Assess non-functional requirements","docs/test-artifacts"
"testing","anytime","traceability","trace","kratos-trace","false","test-architect","Generate traceability matrix","docs/test-artifacts"
"lifecycle","3-solutioning","security-threat-model","threat-model","kratos-threat-model","false","security","Create STRIDE/DREAD threat model","docs/planning-artifacts"
"lifecycle","4-implementation","security-review","security-review","kratos-security-review","false","security","Pre-merge OWASP security review","docs/implementation-artifacts"
"lifecycle","3-solutioning","infrastructure-design","infra-design","kratos-infra-design","false","devops","Design deployment topology and IaC","docs/planning-artifacts"
"lifecycle","5-deployment","deployment-checklist","deploy-checklist","kratos-deploy-checklist","false","devops","Pre-deployment verification checklist","docs/implementation-artifacts"
"lifecycle","5-deployment","release-plan","release-plan","kratos-release-plan","false","devops","Staged rollout and release strategy","docs/implementation-artifacts"
"lifecycle","5-deployment","post-deploy-verify","post-deploy","kratos-post-deploy","false","devops","Post-deployment health validation","docs/implementation-artifacts"
"lifecycle","5-deployment","rollback-plan","rollback-plan","kratos-rollback-plan","false","devops","Rollback trigger criteria and procedures","docs/implementation-artifacts"
"lifecycle","anytime","performance-review","performance-review","kratos-performance-review","false","performance","Analyze performance bottlenecks","docs/test-artifacts"
"creative","anytime","slide-deck","slide-deck","kratos-slide-deck","false","presentation-designer","Create presentation slide deck","docs/creative-artifacts"
"creative","anytime","pitch-deck","pitch-deck","kratos-pitch-deck","false","presentation-designer","Create investor/partner pitch deck","docs/creative-artifacts"
"core","anytime","review-security","review-security","kratos-review-security","false","security","OWASP-focused security review task","n/a"
"core","anytime","review-api-design","review-api","kratos-review-api","false","orchestrator","Review REST API design","n/a"
"core","anytime","review-dependency-audit","review-deps","kratos-review-deps","false","orchestrator","Audit project dependencies","n/a"
"core","anytime","review-accessibility","review-a11y","kratos-review-a11y","false","orchestrator","Review for WCAG 2.1 compliance","n/a"
"core","anytime","review-performance","review-perf","kratos-review-perf","false","orchestrator","Review code for performance issues","n/a"
"core","anytime","merge-docs","merge-docs","kratos-merge-docs","false","tech-writer","Merge multiple markdown files","n/a"
"core","anytime","generate-changelog","changelog","kratos-changelog","false","orchestrator","Generate changelog from git history","n/a"
"core","anytime","summarize-doc","summarize","kratos-summarize","false","orchestrator","Generate executive summary of a document","n/a"
"testing","anytime","accessibility-testing","a11y-testing","kratos-a11y-testing","false","test-architect","Create accessibility test plan for WCAG compliance","docs/test-artifacts"
"testing","anytime","performance-testing","perf-testing","kratos-perf-testing","false","test-architect","Create performance test plan with load testing","docs/test-artifacts"
"testing","anytime","mobile-testing","mobile-testing","kratos-mobile-testing","false","test-architect","Create mobile test plan covering devices and responsive","docs/test-artifacts"
"creative","anytime","creative-sprint","creative-sprint","kratos-creative-sprint","false","orchestrator","Multi-agent creative pipeline: empathize → solve → innovate","docs/creative-artifacts"
"core","anytime","validate-framework","validate-framework","kratos-validate-framework","false","orchestrator","Run KRATOS framework self-validation","n/a"
"lifecycle","4-implementation","change-request","change-request","kratos-change-request","false","pm","Impact-driven change request with analysis, approval gate, and cascade updates","docs/planning-artifacts"
"lifecycle","4-implementation","add-stories","add-stories","kratos-add-stories","false","pm","Add incremental stories to existing epics-and-stories.md","docs/planning-artifacts"
"lifecycle","4-implementation","tech-debt-review","tech-debt-review","kratos-tech-debt-review","false","sm","Aggregate, classify, and prioritize technical debt","docs/implementation-artifacts"
